Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
CLM0000001,CUST0000006,VEH0000006,10000,2025-12-21,1
CLM0000002,CUST0000031,VEH0000031,10000,2025-11-07,1
CLM0000003,CUST0000068,VEH0000068,10000,2025-12-07,1
CLM0000004,CUST0000124,VEH0000124,10000,2025-12-28,1
CLM0000005,CUST0000148,VEH0000148,10000,2025-01-13,1
CLM0000006,CUST0000155,VEH0000155,10000,2026-01-20,1
CLM0000007,CUST0000193,VEH0000193,10000,2026-01-14,1
CLM0000008,CUST0000199,VEH0000199,10000,2025-06-14,1
CLM0000009,CUST0000203,VEH0000203,10000,2025-07-28,1
CLM0000010,CUST0000210,VEH0000210,10000,2025-10-07,1
CLM0000011,CUST0000218,VEH0000218,10000,2025-04-21,1
CLM0000012,CUST0000227,VEH0000227,10000,2026-01-11,1
CLM0000013,CUST0000280,VEH0000280,10000,2025-06-21,1
CLM0000014,CUST0000309,VEH0000309,10000,2025-11-21,1
CLM0000015,CUST0000316,VEH0000316,10000,2025-12-07,1
CLM0000016,CUST0000330,VEH0000330,10000,2025-09-28,1
CLM0000017,CUST0000342,VEH0000342,10000,2025-07-28,1
CLM0000018,CUST0000437,VEH0000437,10000,2025-09-07,1
CLM0000019,CUST0000441,VEH0000441,10000,2025-07-14,1
CLM0000020,CUST0000481,VEH0000481,10000,2025-02-06,1
CLM0000021,CUST0000488,VEH0000488,10000,2025-11-21,1
CLM0000022,CUST0000500,VEH0000500,10000,2026-01-23,1
CLM0000023,CUST0000541,VEH0000541,10000,2026-02-08,1
CLM0000024,CUST0000569,VEH0000569,10000,2026-01-30,1
CLM0000025,CUST0000579,VEH0000579,10000,2025-03-07,1
CLM0000026,CUST0000655,VEH0000655,10000,2025-05-14,1
CLM0000027,CUST0000706,VEH0000706,10000,2026-01-20,1
CLM0000028,CUST0000725,VEH0000725,10000,2025-04-28,1
CLM0000029,CUST0000786,VEH0000786,10000,2026-02-27,1
CLM0000030,CUST0000809,VEH0000809,10000,2025-08-28,1
CLM0000031,CUST0000844,VEH0000844,10000,2026-01-04,1
CLM0000032,CUST0000926,VEH0000926,10000,2025-11-28,1
CLM0000033,CUST0000933,VEH0000933,10000,2025-12-21,1
CLM0000034,CUST0000933,VEH0000933,10000,2026-01-04,2
CLM0000035,CUST0000948,VEH0000948,10000,2026-02-25,1
CLM0000036,CUST0000973,VEH0000973,10000,2025-09-21,1
CLM0000037,CUST0000982,VEH0000982,10000,2025-11-07,1
CLM0000038,CUST0000987,VEH0000987,10000,2025-10-14,1
CLM0000039,CUST0001002,VEH0001002,10000,2025-10-14,1
CLM0000040,CUST0001008,VEH0001008,10000,2025-03-14,1
CLM0000041,CUST0001012,VEH0001012,10000,2025-03-07,1
CLM0000042,CUST0001016,VEH0001016,10000,2026-02-14,1
CLM0000043,CUST0001019,VEH0001019,10000,2026-02-27,1
CLM0000044,CUST0001023,VEH0001023,10000,2026-01-06,1
CLM0000045,CUST0001025,VEH0001025,10000,2026-01-23,1
CLM0000046,CUST0001037,VEH0001037,10000,2025-04-21,1
CLM0000047,CUST0001040,VEH0001040,10000,2025-10-21,1
CLM0000048,CUST0001059,VEH0001059,10000,2025-12-28,1
CLM0000049,CUST0001072,VEH0001072,10000,2025-08-07,1
CLM0000050,CUST0001075,VEH0001075,10000,2026-02-01,1
CLM0000051,CUST0001094,VEH0001094,10000,2025-12-21,1
CLM0000052,CUST0001105,VEH0001105,10000,2026-02-17,1
CLM0000053,CUST0001164,VEH0001164,10000,2025-02-13,1
CLM0000054,CUST0001172,VEH0001172,10000,2025-03-14,1
CLM0000055,CUST0001182,VEH0001182,10000,2025-04-14,1
CLM0000056,CUST0001197,VEH0001197,10000,2026-02-14,1
CLM0000057,CUST0001215,VEH0001215,10000,2025-03-21,1
CLM0000058,CUST0001217,VEH0001217,10000,2025-09-28,1
CLM0000059,CUST0001219,VEH0001219,10000,2025-08-14,1
CLM0000060,CUST0001278,VEH0001278,10000,2026-02-10,1
CLM0000061,CUST0001286,VEH0001286,10000,2025-12-21,1
CLM0000062,CUST0001288,VEH0001288,10000,2025-03-28,1
CLM0000063,CUST0001324,VEH0001324,10000,2025-03-07,1
CLM0000064,CUST0001340,VEH0001340,10000,2025-01-13,1
CLM0000065,CUST0001361,VEH0001361,10000,2026-01-20,1
CLM0000066,CUST0001370,VEH0001370,10000,2025-12-14,1
CLM0000067,CUST0001422,VEH0001422,10000,2025-01-13,1
CLM0000068,CUST0001434,VEH0001434,10000,2025-07-28,1
CLM0000069,CUST0001483,VEH0001483,10000,2025-10-14,1
CLM0000070,CUST0001488,VEH0001488,10000,2025-08-28,1
CLM0000071,CUST0001489,VEH0001489,10000,2025-04-14,1
CLM0000072,CUST0001506,VEH0001506,10000,2025-02-13,1
CLM0000073,CUST0001585,VEH0001585,10000,2026-01-22,1
CLM0000074,CUST0001591,VEH0001591,10000,2025-10-14,1
CLM0000075,CUST0001603,VEH0001603,10000,2025-10-28,1
CLM0000076,CUST0001639,VEH0001639,10000,2026-01-10,1
CLM0000077,CUST0001656,VEH0001656,10000,2026-02-13,1
CLM0000078,CUST0001663,VEH0001663,10000,2025-01-13,1
CLM0000079,CUST0001691,VEH0001691,10000,2025-11-21,1
CLM0000080,CUST0001694,VEH0001694,10000,2025-10-14,1
